Month,Year,PRODUCTS,TRADE,"Quantity (000 Metric Tonnes)","Value in Rupees (Crore)","Value in Dollars (Million US dollar)",date_updated
October,2022,"CRUDE OIL",Import,18123.45,99194.38,12086.55,"2023-11-11 04:00:12"
October,2022,LPG,Import,1374.06,6611.22,804.95,"2023-11-11 04:00:12"
October,2022,MS,Import,327.48,2433.86,295.82,"2023-11-11 04:00:12"
October,2022,Naphtha,Import,134.80,636.94,77.28,"2023-11-11 04:00:12"
October,2022,ATF,Import,,,,"2023-11-11 04:00:12"
October,2022,HSD,Import,10.22,91.97,11.17,"2023-11-11 04:00:12"
October,2022,"LOBS/ Lube oil",Import,212.25,1887.51,229.29,"2023-11-11 04:00:12"
October,2022,"Fuel Oil",Import,654.76,2472.89,300.61,"2023-11-11 04:00:12"
October,2022,Bitumen,Import,226.00,773.73,93.97,"2023-11-11 04:00:12"
October,2022,Petcoke,Import,855.05,1587.72,192.82,"2023-11-11 04:00:12"
October,2022,Others&,Import,96.27,604.48,73.42,"2023-11-11 04:00:12"
October,2022,"PRODUCT IMPORT*",Import,3890.89,17100.32,2079.34,"2023-11-11 04:00:12"
October,2022,"TOTAL IMPORT",Import,22014.34,116294.70,14165.89,"2023-11-11 04:00:12"
October,2022,LPG,Export,42.77,274.94,33.51,"2023-11-11 04:00:12"
October,2022,MS!,Export,499.71,3302.35,401.99,"2023-11-11 04:00:12"
October,2022,Naphtha$,Export,371.58,2009.05,244.07,"2023-11-11 04:00:12"
October,2022,ATF#,Export,639.48,5347.42,650.00,"2023-11-11 04:00:12"
October,2022,SKO,Export,0.72,6.42,0.78,"2023-11-11 04:00:12"
October,2022,HSD,Export,2062.15,17901.67,2174.84,"2023-11-11 04:00:12"
October,2022,LDO,Export,0.15,1.26,0.16,"2023-11-11 04:00:12"
October,2022,"LOBS/ Lube Oil",Export,0.47,7.89,0.96,"2023-11-11 04:00:12"
October,2022,"Fuel Oil",Export,229.38,968.50,117.40,"2023-11-11 04:00:12"
October,2022,Bitumen,Export,2.13,10.96,1.34,"2023-11-11 04:00:12"
October,2022,"Petcoke / CBFS",Export,,,,"2023-11-11 04:00:12"
October,2022,Others%,Export,123.09,852.02,103.31,"2023-11-11 04:00:12"
October,2022,"TOTAL  PRODUCT EXPORT",Export,3971.63,30682.49,3728.38,"2023-11-11 04:00:12"
October,2022,"NET IMPORT",Export,18042.71,85612.21,10437.51,"2023-11-11 04:00:12"
November,2022,"CRUDE OIL",Import,19003.28,100258.76,12252.89,"2023-11-11 04:00:12"
November,2022,LPG,Import,1778.00,9200.65,1120.34,"2023-11-11 04:00:12"
November,2022,MS,Import,211.36,1527.15,185.57,"2023-11-11 04:00:12"
November,2022,Naphtha,Import,27.56,173.61,21.19,"2023-11-11 04:00:12"
November,2022,ATF,Import,,,,"2023-11-11 04:00:12"
November,2022,HSD,Import,6.62,66.54,8.13,"2023-11-11 04:00:12"
November,2022,"LOBS/ Lube oil",Import,159.27,1420.51,173.54,"2023-11-11 04:00:12"
November,2022,"Fuel Oil",Import,568.74,2037.90,248.84,"2023-11-11 04:00:12"
November,2022,Bitumen,Import,345.95,1092.41,133.51,"2023-11-11 04:00:12"
November,2022,Petcoke,Import,846.85,1709.94,209.01,"2023-11-11 04:00:12"
November,2022,Others&,Import,94.41,673.20,82.28,"2023-11-11 04:00:12"
November,2022,"PRODUCT IMPORT*",Import,4038.78,17901.91,2182.42,"2023-11-11 04:00:12"
November,2022,"TOTAL IMPORT",Import,23042.06,118160.67,14435.30,"2023-11-11 04:00:12"
November,2022,LPG,Export,41.43,251.00,30.49,"2023-11-11 04:00:12"
November,2022,MS!,Export,841.66,5727.39,690.99,"2023-11-11 04:00:12"
November,2022,Naphtha$,Export,423.19,2335.96,285.16,"2023-11-11 04:00:12"
November,2022,ATF#,Export,591.10,4880.10,595.76,"2023-11-11 04:00:12"
November,2022,SKO,Export,0.86,8.03,0.98,"2023-11-11 04:00:12"
November,2022,HSD,Export,1978.59,15873.61,1940.43,"2023-11-11 04:00:12"
November,2022,LDO,Export,0.13,1.20,0.15,"2023-11-11 04:00:12"
November,2022,"LOBS/ Lube Oil",Export,0.80,11.48,1.40,"2023-11-11 04:00:12"
November,2022,"Fuel Oil",Export,158.57,720.73,88.32,"2023-11-11 04:00:12"
November,2022,Bitumen,Export,0.09,0.48,0.06,"2023-11-11 04:00:12"
November,2022,"Petcoke / CBFS",Export,,,,"2023-11-11 04:00:12"
November,2022,Others%,Export,229.29,1278.51,156.16,"2023-11-11 04:00:12"
November,2022,"TOTAL  PRODUCT EXPORT",Export,4265.72,31088.49,3789.88,"2023-11-11 04:00:12"
November,2022,"NET IMPORT",Export,18776.34,87072.18,10645.42,"2023-11-11 04:00:12"
December,2022,"CRUDE OIL",Import,19617.71,94253.23,11445.03,"2023-11-11 04:00:12"
December,2022,LPG,Import,1718.14,9567.42,1168.61,"2023-11-11 04:00:12"
December,2022,MS,Import,119.99,841.68,102.65,"2023-11-11 04:00:12"
December,2022,Naphtha,Import,88.43,388.05,46.98,"2023-11-11 04:00:12"
December,2022,ATF,Import,,,,"2023-11-11 04:00:12"
December,2022,HSD,Import,12.17,110.78,13.43,"2023-11-11 04:00:12"
December,2022,"LOBS/ Lube oil",Import,139.05,1204.29,146.20,"2023-11-11 04:00:12"
December,2022,"Fuel Oil",Import,963.12,2952.31,359.00,"2023-11-11 04:00:12"
December,2022,Bitumen,Import,282.50,1021.87,123.92,"2023-11-11 04:00:12"
December,2022,Petcoke,Import,595.31,971.63,117.82,"2023-11-11 04:00:12"
December,2022,Others&,Import,130.25,855.07,103.70,"2023-11-11 04:00:12"
December,2022,"PRODUCT IMPORT*",Import,4048.96,17913.11,2182.31,"2023-11-11 04:00:12"
December,2022,"TOTAL IMPORT",Import,23666.67,112166.34,13627.34,"2023-11-11 04:00:12"
December,2022,LPG,Export,44.23,273.28,33.51,"2023-11-11 04:00:12"
December,2022,MS!,Export,1242.11,8138.87,995.62,"2023-11-11 04:00:12"
December,2022,Naphtha$,Export,440.81,2245.72,273.36,"2023-11-11 04:00:12"
December,2022,ATF#,Export,623.58,4543.68,552.60,"2023-11-11 04:00:12"
December,2022,SKO,Export,0.89,8.24,1.01,"2023-11-11 04:00:12"
December,2022,HSD,Export,2412.60,17381.54,2109.28,"2023-11-11 04:00:12"
December,2022,LDO,Export,0.19,1.52,0.19,"2023-11-11 04:00:12"
December,2022,"LOBS/ Lube Oil",Export,0.58,10.10,1.23,"2023-11-11 04:00:12"
December,2022,"Fuel Oil",Export,247.84,925.51,112.04,"2023-11-11 04:00:12"
December,2022,Bitumen,Export,0.19,0.45,0.06,"2023-11-11 04:00:12"
December,2022,"Petcoke / CBFS",Export,,,,"2023-11-11 04:00:12"
December,2022,Others%,Export,684.25,3372.83,408.61,"2023-11-11 04:00:12"
December,2022,"TOTAL  PRODUCT EXPORT",Export,5697.27,36901.73,4487.50,"2023-11-11 04:00:12"
December,2022,"NET IMPORT",Export,17969.40,75264.61,9139.84,"2023-11-11 04:00:12"
January,2023,"CRUDE OIL",Import,20229.31,92441.85,11350.71,"2023-11-11 04:00:12"
January,2023,LPG,Import,1709.11,8825.40,1070.50,"2023-11-11 04:00:12"
January,2023,MS,Import,0.01,0.27,0.03,"2023-11-11 04:00:12"
January,2023,Naphtha,Import,40.51,184.15,22.61,"2023-11-11 04:00:12"
January,2023,ATF,Import,,,,"2023-11-11 04:00:12"
January,2023,HSD,Import,4.65,45.50,5.56,"2023-11-11 04:00:12"
January,2023,"LOBS/ Lube oil",Import,139.03,1183.35,144.46,"2023-11-11 04:00:12"
January,2023,"Fuel Oil",Import,893.44,2764.80,337.55,"2023-11-11 04:00:12"
January,2023,Bitumen,Import,268.88,914.69,111.69,"2023-11-11 04:00:12"
January,2023,Petcoke,Import,515.66,1356.03,165.57,"2023-11-11 04:00:12"
January,2023,Others&,Import,211.15,1176.87,143.96,"2023-11-11 04:00:12"
January,2023,"PRODUCT IMPORT*",Import,3782.42,16451.06,2001.92,"2023-11-11 04:00:12"
January,2023,"TOTAL IMPORT",Import,24011.73,108892.91,13352.63,"2023-11-11 04:00:12"
January,2023,LPG,Export,47.43,312.04,37.55,"2023-11-11 04:00:12"
January,2023,MS!,Export,1165.30,8424.65,1035.62,"2023-11-11 04:00:12"
January,2023,Naphtha$,Export,333.14,1812.00,220.44,"2023-11-11 04:00:12"
January,2023,ATF#,Export,567.87,4429.26,541.67,"2023-11-11 04:00:12"
January,2023,SKO,Export,0.88,7.30,0.88,"2023-11-11 04:00:12"
January,2023,HSD,Export,1990.66,14376.25,1755.37,"2023-11-11 04:00:12"
January,2023,LDO,Export,0.11,0.84,0.10,"2023-11-11 04:00:12"
January,2023,"LOBS/ Lube Oil",Export,0.69,10.37,1.27,"2023-11-11 04:00:12"
January,2023,"Fuel Oil",Export,179.19,685.22,83.35,"2023-11-11 04:00:12"
January,2023,Bitumen,Export,0.04,0.20,0.02,"2023-11-11 04:00:12"
January,2023,"Petcoke / CBFS",Export,,,,"2023-11-11 04:00:12"
January,2023,Others%,Export,215.48,1201.61,145.91,"2023-11-11 04:00:12"
January,2023,"TOTAL  PRODUCT EXPORT",Export,4500.78,31259.74,3822.18,"2023-11-11 04:00:12"
January,2023,"NET IMPORT",Export,19510.95,77633.17,9530.45,"2023-11-11 04:00:12"
February,2023,"CRUDE OIL",Import,19284.87,85799.49,10421.19,"2023-11-11 04:00:12"
February,2023,LPG,Import,1647.48,10878.43,1319.93,"2023-11-11 04:00:12"
February,2023,MS,Import,,,,"2023-11-11 04:00:12"
February,2023,Naphtha,Import,127.55,687.10,83.30,"2023-11-11 04:00:12"
February,2023,ATF,Import,,,,"2023-11-11 04:00:12"
February,2023,HSD,Import,9.79,43.61,5.28,"2023-11-11 04:00:12"
February,2023,"LOBS/ Lube oil",Import,184.28,1514.67,183.40,"2023-11-11 04:00:12"
February,2023,"Fuel Oil",Import,640.15,1893.73,229.43,"2023-11-11 04:00:12"
February,2023,Bitumen,Import,296.05,986.93,119.47,"2023-11-11 04:00:12"
February,2023,Petcoke,Import,724.77,1351.38,163.59,"2023-11-11 04:00:12"
February,2023,Others&,Import,88.79,589.71,71.39,"2023-11-11 04:00:12"
February,2023,"PRODUCT IMPORT*",Import,3718.86,17945.56,2175.78,"2023-11-11 04:00:12"
February,2023,"TOTAL IMPORT",Import,23003.74,103745.05,12596.97,"2023-11-11 04:00:12"
February,2023,LPG,Export,42.48,264.48,32.16,"2023-11-11 04:00:12"
February,2023,MS!,Export,1379.37,9773.61,1176.31,"2023-11-11 04:00:12"
February,2023,Naphtha$,Export,416.01,2342.99,284.20,"2023-11-11 04:00:12"
February,2023,ATF#,Export,649.61,4604.41,556.73,"2023-11-11 04:00:12"
February,2023,SKO,Export,0.52,4.51,0.55,"2023-11-11 04:00:12"
February,2023,HSD,Export,2149.96,14669.97,1774.39,"2023-11-11 04:00:12"
February,2023,LDO,Export,0.14,1.15,0.14,"2023-11-11 04:00:12"
February,2023,"LOBS/ Lube Oil",Export,0.10,1.83,0.22,"2023-11-11 04:00:12"
February,2023,"Fuel Oil",Export,75.89,324.54,39.39,"2023-11-11 04:00:12"
February,2023,Bitumen,Export,0.37,1.31,0.16,"2023-11-11 04:00:12"
February,2023,"Petcoke / CBFS",Export,22.00,24.49,2.97,"2023-11-11 04:00:12"
February,2023,Others%,Export,319.99,1738.24,210.57,"2023-11-11 04:00:12"
February,2023,"TOTAL  PRODUCT EXPORT",Export,5056.45,33751.52,4077.79,"2023-11-11 04:00:12"
February,2023,"NET IMPORT",Export,17947.29,69993.53,8519.17,"2023-11-11 04:00:12"
March,2023,"CRUDE OIL",Import,20728.60,88792.30,10787.15,"2023-11-11 04:00:12"
March,2023,LPG,Import,1410.44,8766.62,1061.02,"2023-11-11 04:00:12"
March,2023,MS,Import,,,,"2023-11-11 04:00:12"
March,2023,Naphtha,Import,98.26,441.55,53.97,"2023-11-11 04:00:12"
March,2023,ATF,Import,,,,"2023-11-11 04:00:12"
March,2023,HSD,Import,3.86,29.77,3.62,"2023-11-11 04:00:12"
March,2023,"LOBS/ Lube oil",Import,174.61,1401.02,170.25,"2023-11-11 04:00:12"
March,2023,"Fuel Oil",Import,745.11,2072.38,251.78,"2023-11-11 04:00:12"
March,2023,Bitumen,Import,347.48,1186.41,144.17,"2023-11-11 04:00:12"
March,2023,Petcoke,Import,1182.91,2179.56,264.87,"2023-11-11 04:00:12"
March,2023,Others&,Import,389.10,1964.51,238.84,"2023-11-11 04:00:12"
March,2023,"PRODUCT IMPORT*",Import,4351.78,18041.81,2188.51,"2023-11-11 04:00:12"
March,2023,"TOTAL IMPORT",Import,25080.38,106834.12,12975.66,"2023-11-11 04:00:12"
March,2023,LPG,Export,51.29,395.39,47.68,"2023-11-11 04:00:12"
March,2023,MS!,Export,1470.41,9970.83,1210.75,"2023-11-11 04:00:12"
March,2023,Naphtha$,Export,511.34,2820.72,342.07,"2023-11-11 04:00:12"
March,2023,ATF#,Export,786.49,5010.41,608.44,"2023-11-11 04:00:12"
March,2023,SKO,Export,0.84,7.02,0.85,"2023-11-11 04:00:12"
March,2023,HSD,Export,2481.95,15532.71,1887.59,"2023-11-11 04:00:12"
March,2023,LDO,Export,0.16,1.23,0.15,"2023-11-11 04:00:12"
March,2023,"LOBS/ Lube Oil",Export,1.03,15.27,1.86,"2023-11-11 04:00:12"
March,2023,"Fuel Oil",Export,141.24,559.43,68.09,"2023-11-11 04:00:12"
March,2023,Bitumen,Export,2.56,11.85,1.45,"2023-11-11 04:00:12"
March,2023,"Petcoke / CBFS",Export,123.19,272.24,33.14,"2023-11-11 04:00:12"
March,2023,Others%,Export,435.15,1647.61,199.86,"2023-11-11 04:00:12"
March,2023,"TOTAL  PRODUCT EXPORT",Export,6005.65,36244.71,4401.91,"2023-11-11 04:00:12"
March,2023,"NET IMPORT",Export,19074.73,70589.40,8573.75,"2023-11-11 04:00:12"
